Tag,Player,Elo,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6,LeadPokemon,TurnCount,Result,Pokemon 1 Move 1,Pokemon 1 Move 2,Pokemon 1 Move 3,Pokemon 1 Move 4,Pokemon 2 Move 1,Pokemon 2 Move 2,Pokemon 2 Move 3,Pokemon 2 Move 4,Pokemon 3 Move 1,Pokemon 3 Move 2,Pokemon 3 Move 3,Pokemon 3 Move 4,Pokemon 4 Move 1,Pokemon 4 Move 2,Pokemon 4 Move 3,Pokemon 4 Move 4,Pokemon 5 Move 1,Pokemon 5 Move 2,Pokemon 5 Move 3,Pokemon 5 Move 4,Pokemon 6 Move 1,Pokemon 6 Move 2,Pokemon 6 Move 3,Pokemon 6 Move 4,Weather-Rain,Weather-Sand
1127055717,disastercannoneer,1507,Tyranitar,Landorus-Therian,Excadrill,Rotom-Wash,Amoonguss,Mamoswine,Amoonguss,19,lose,Pursuit,None,None,None,Earthquake,U-turn,None,None,Protect,Iron Head,None,None,Will-O-Wisp,Volt Switch,None,None,Giga Drain,Stun Spore,None,None,None,None,None,None,1,0
1127152283,koumite,1364,Tyranitar,Alakazam,Garchomp,Hydreigon,Jellicent,Skarmory,Garchomp,47,win,Crunch,Pursuit,None,None,Psyshock,Shadow Ball,Focus Blast,Encore,Stealth Rock,Toxic,None,None,Draco Meteor,Fire Blast,None,None,Recover,Will-O-Wisp,Scald,None,Whirlwind,Spikes,None,None,1,0
1127705216,Bloodclat,1527,Venusaur,Keldeo-Resolute,Skarmory,Chansey,Heatran,Bisharp,Keldeo-Resolute,56,win,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0
1127741592,Mayormaynotbealt,1326,Hippowdon,Jirachi,Gliscor,Rotom-Wash,Forretress,Terrakion,Hippowdon,66,lose,Stealth Rock,Earthquake,Ice Fang,None,Iron Head,Substitute,Body Slam,None,Earthquake,Toxic,Substitute,Protect,Hydro Pump,Will-O-Wisp,Volt Switch,Pain Split,Gyro Ball,Spikes,Rapid Spin,Volt Switch,Stone Edge,None,None,None,0,0
1127883703,Alexia B.,1535,Jellicent,Tyranitar,Latios,Ferrothorn,Keldeo,Scizor,Tyranitar,20,win,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Surf,None,None,None,None,None,None,None,0,0
1127885923,Alexia B.,1543,Jellicent,Tyranitar,Latios,Ferrothorn,Keldeo,Scizor,Ferrothorn,19,win,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Surf,None,None,None,None,None,None,None,0,0
1127891333,porrompompom,1633,Celebi,Mienshao,Landorus-Therian,Rotom-Wash,Forretress,Dragonite,Rotom-Wash,51,lose,Swords Dance,Seed Bomb,Recover,None,U-turn,None,None,None,Hidden Power,Earthquake,Stealth Rock,U-turn,Pain Split,Hydro Pump,Will-O-Wisp,Volt Switch,Pain Split,Spikes,Rapid Spin,None,Outrage,None,None,None,0,0
1128172960,radaty,1432,Politoed,Ferrothorn,Tornadus,Toxicroak,Thundurus-Therian,Tentacruel,Politoed,21,lose,Ice Beam,Protect,None,None,None,None,None,None,Hurricane,None,None,None,Drain Punch,Sucker Punch,None,None,Dark Pulse,None,None,None,Scald,None,None,None,0,1
1128178493,mastur_bator_69,1426,Mamoswine,Latios,Scizor,Kyurem-Black,Salamence,Magnezone,Magnezone,24,win,Earthquake,Endeavor,None,None,Psychic,None,None,None,Superpower,None,None,None,Outrage,None,None,None,Dragon Claw,Outrage,None,None,Volt Switch,None,None,None,0,0
1128250743,mastur_bator_69,1442,Mamoswine,Latios,Scizor,Kyurem-Black,Salamence,Magnezone,Kyurem-Black,24,win,Ice Shard,Endeavor,None,None,Draco Meteor,None,None,None,Bullet Punch,Superpower,None,None,Outrage,None,None,None,Outrage,None,None,None,Hidden Power,None,None,None,0,0
112827214,ParkLife,1342,Terrakion,Landorus-Therian,Latios,Tyranitar,Breloom,Rotom-Wash,Tyranitar,22,lose,Close Combat,None,None,None,Swords Dance,None,None,None,Draco Meteor,Hidden Power,Psyshock,None,Stone Edge,Fire Blast,Stealth Rock,None,Spore,Mach Punch,None,None,Hydro Pump,None,None,None,1,0
1128397972,supersoftsteel,1274,Keldeo-Resolute,Politoed,Scizor,Thundurus-Therian,Ferrothorn,Starmie,Keldeo-Resolute,18,win,None,None,None,None,None,None,None,None,None,None,None,None,Thunder,None,None,None,Stealth Rock,None,None,None,None,None,None,None,0,1
1128455126,Bonginator,1524,Politoed,Starmie,Scizor,Thundurus-Therian,Keldeo-Resolute,Ferrothorn,Starmie,45,win,Ice Beam,None,None,None,Rapid Spin,Trick,Hydro Pump,None,Pursuit,None,None,None,Volt Switch,Hidden Power,Thunder,Focus Blast,Hydro Pump,None,None,None,Spikes,Stealth Rock,Power Whip,Knock Off,0,1
112857985,dberman1,1424,Kyurem-Black,Vaporeon,Abomasnow,Heatran,Forretress,Reuniclus,Abomasnow,53,lose,Substitute,Fusion Bolt,Blizzard,Dragon Claw,Heal Bell,Scald,None,None,Ice Shard,Wood Hammer,None,None,Toxic,Lava Plume,None,None,Rapid Spin,Volt Switch,None,None,Psychic,Shadow Ball,Trick Room,Focus Blast,0,0
1128745640,XXOO For Ever,1372,Politoed,Jirachi,Landorus-Therian,Thundurus-Therian,Ferrothorn,Keldeo,Landorus-Therian,53,win,Hidden Power,None,None,None,Thunder,Calm Mind,Substitute,Water Pulse,Earthquake,U-turn,None,None,Hidden Power,None,None,None,Stealth Rock,Power Whip,Leech Seed,None,Calm Mind,Icy Wind,Hidden Power,Secret Sword,0,1
1128771657,H3RRO,1457,Reuniclus,Abomasnow,Scizor,Tentacruel,Kyurem-Black,Landorus-Therian,Abomasnow,10,lose,None,None,None,None,Leech Seed,Protect,None,None,Bullet Punch,None,None,None,Protect,None,None,None,None,None,None,None,None,None,None,None,0,0
1128775479,mastur_bator_69,1428,Mamoswine,Latios,Scizor,Kyurem-Black,Salamence,Magnezone,Mamoswine,24,win,Earthquake,Stealth Rock,Ice Shard,None,Draco Meteor,None,None,None,None,None,None,None,Outrage,None,None,None,Outrage,None,None,None,Volt Switch,Hidden Power,None,None,0,0
1128792156,Rheumatoid,1559,Thundurus-Therian,Keldeo,Politoed,Tentacruel,Ferrothorn,Jirachi,Thundurus-Therian,48,lose,Hidden Power,Focus Blast,Substitute,None,Secret Sword,Hydro Pump,None,None,Perish Song,Protect,None,None,Rapid Spin,Protect,Toxic Spikes,None,Spikes,Stealth Rock,Gyro Ball,None,Thunder,Calm Mind,Substitute,None,0,1
1128797022,ReallyFunTeams,1445,Forretress,Dragonite,Scizor,Rotom-Wash,Ferrothorn,Alakazam,Forretress,26,win,Spikes,Rapid Spin,Stealth Rock,None,None,None,None,None,U-turn,None,None,None,Hydro Pump,None,None,None,Curse,Leech Seed,Gyro Ball,None,Focus Blast,Hidden Power,None,None,0,0
1128808750,Rheumatoid,1548,Thundurus-Therian,Keldeo,Politoed,Tentacruel,Ferrothorn,Jirachi,Jirachi,45,win,Hidden Power,None,None,None,Secret Sword,Surf,None,None,Scald,Toxic,None,None,Scald,Protect,Toxic Spikes,None,Spikes,Stealth Rock,None,None,Thunder,Calm Mind,Substitute,Psyshock,0,1
1128979933,italian sauce 123,1451,Politoed,Thundurus-Therian,Ferrothorn,Latios,Tentacruel,Starmie,Politoed,35,lose,Toxic,Protect,None,None,Focus Blast,None,None,None,Stealth Rock,None,None,None,Draco Meteor,Surf,None,None,Scald,Toxic,Protect,None,Rapid Spin,Psychic,Hydro Pump,None,0,1
1128987171,porrompompom,1615,Amoonguss,Scizor,Conkeldurr,Landorus-Therian,Rotom-Wash,Latios,Latios,26,lose,None,None,None,None,Bullet Punch,U-turn,None,None,Stone Edge,Bulk Up,Mach Punch,Drain Punch,Stealth Rock,U-turn,None,None,None,None,None,None,Draco Meteor,None,None,None,0,0
1129009582,WhatBKCFailed,1573,Moltres,Hippowdon,Ferrothorn,Jirachi,Alakazam,Starmie,Hippowdon,30,lose,Hurricane,Substitute,Will-O-Wisp,None,Earthquake,Stealth Rock,None,None,Knock Off,None,None,None,Protect,Body Slam,Wish,None,Psychic,Shadow Ball,Focus Blast,None,None,None,None,None,0,0
1129472633,tjx93,1492,Politoed,Starmie,Keldeo-Resolute,Breloom,Landorus-Therian,Jirachi,Starmie,41,win,None,None,None,None,Rapid Spin,Hydro Pump,None,None,Secret Sword,None,None,None,Drain Punch,None,None,None,Earthquake,None,None,None,Thunder,Icy Wind,Iron Head,Stealth Rock,0,0
1130138060,Mayormaynotbealt,1326,Hippowdon,Jirachi,Gliscor,Rotom-Wash,Forretress,Terrakion,Hippowdon,66,lose,Stealth Rock,Earthquake,Ice Fang,None,Iron Head,Substitute,Body Slam,None,Earthquake,Toxic,Substitute,Protect,Hydro Pump,Will-O-Wisp,Volt Switch,Pain Split,Gyro Ball,Spikes,Rapid Spin,Volt Switch,Stone Edge,None,None,None,0,0
1130146292,Greninja The G,1314,Politoed,Ferrothorn,Thundurus-Therian,Tentacruel,Latios,Keldeo,Politoed,48,win,Scald,Toxic,Encore,Protect,Stealth Rock,Power Whip,None,None,Thunder,None,None,None,Scald,Toxic,Rapid Spin,Protect,Draco Meteor,Dragon Pulse,None,None,Surf,None,None,None,0,1
1130700373,porrompompom,1536,Crobat,Tornadus,Excadrill,Magnezone,Gyarados,Breloom,Excadrill,24,win,Pursuit,None,None,None,Tailwind,Acrobatics,None,None,Stealth Rock,None,None,None,Hidden Power,None,None,None,Dragon Dance,Earthquake,Waterfall,None,Bullet Seed,None,None,None,0,0
1132221870,Sweets,1373,Politoed,Tentacruel,Ferrothorn,Chansey,Kyurem-Black,Landorus-Therian,Landorus-Therian,43,lose,Scald,Protect,None,None,Scald,Rapid Spin,Protect,None,Spikes,Power Whip,Leech Seed,Gyro Ball,Seismic Toss,Stealth Rock,Soft-Boiled,None,Earth Power,None,None,None,Earthquake,U-turn,None,None,0,1
1132240306,Valfirio,1343,Salamence,Magnezone,Haxorus,Excadrill,Jellicent,Alakazam,Salamence,48,win,Dragon Dance,Earthquake,Dragon Claw,Substitute,Hidden Power,Sunny Day,Thunderbolt,Thunder Wave,Outrage,Swords Dance,None,None,Rock Slide,Earthquake,None,None,Shadow Ball,Scald,None,None,Psyshock,Shadow Ball,None,None,0,0
1132253087,Deckline,1620,Politoed,Tentacruel,Jirachi,Landorus-Therian,Latios,Breloom,Landorus-Therian,28,lose,None,None,None,None,None,None,None,None,Thunder,Iron Head,Stealth Rock,None,Earthquake,U-turn,None,None,Surf,None,None,None,Substitute,Seed Bomb,Focus Punch,Protect,0,1
1132385400,dtw,1393,Politoed,Azumarill,Breloom,Scizor,Rotom-Wash,Garchomp,Breloom,17,win,None,None,None,None,None,None,None,None,Spore,Bullet Seed,None,None,U-turn,None,None,None,Volt Switch,Will-O-Wisp,None,None,Earthquake,None,None,None,0,0
113271129,Aristogatto,1514,Terrakion,Mamoswine,Wobbuffet,Dragonite,Espeon,Magnezone,Dragonite,22,win,None,None,None,None,Icicle Crash,Stealth Rock,Ice Shard,None,Counter,Destiny Bond,Mirror Coat,Encore,Outrage,None,None,None,Psychic,Sunny Day,None,None,Hidden Power,Substitute,None,None,0,0
1132909282,Danthemanswagg,1482,Politoed,Tentacruel,Ferrothorn,Keldeo-Resolute,Thundurus-Therian,Latios,Politoed,35,lose,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,1
1132979044,hail nightmare,1500,Tyranitar,Landorus-Therian,Ferrothorn,Excadrill,Keldeo-Resolute,Latias,Ferrothorn,31,win,Crunch,Pursuit,None,None,Earthquake,Superpower,None,None,Spikes,Stealth Rock,Power Whip,Explosion,Rapid Spin,Iron Head,None,None,Secret Sword,None,None,None,Roost,Thunder,None,None,1,0
1132993472,kobe_pain,1376,Venusaur,Keldeo-Resolute,Skarmory,Chansey,Heatran,Bisharp,Chansey,28,win,Hidden Power,Leech Seed,None,None,Scald,Secret Sword,None,None,None,None,None,None,Thunder Wave,None,None,None,None,None,None,None,Sucker Punch,Night Slash,None,None,0,0
1133309459,Danthemanswagg,1386,Tyranitar,Latios,Rotom-Wash,Ferrothorn,Landorus-Therian,Garchomp,Garchomp,23,lose,Crunch,Stealth Rock,None,None,Surf,None,None,None,Volt Switch,None,None,None,Spikes,Gyro Ball,None,None,Hidden Power,Earthquake,None,None,None,None,None,None,1,0
1133462748,koumite,1417,Gliscor,Magnezone,Slowbro,Landorus-Therian,Tyranitar,Amoonguss,Gliscor,20,lose,Swords Dance,Earthquake,None,None,None,None,None,None,Fire Blast,Scald,Slack Off,None,None,None,None,None,Stealth Rock,Pursuit,None,None,Stun Spore,None,None,None,1,0
113355561,dtw,1264,Scrafty,Reuniclus,Staraptor,Gengar,Skarmory,Gyarados,Skarmory,25,win,Bulk Up,Drain Punch,Crunch,Rest,Psyshock,Trick Room,None,None,U-turn,Brave Bird,None,None,None,None,None,None,Stealth Rock,Brave Bird,Whirlwind,None,None,None,None,None,0,0
1133568332,txitxas,1360,Skarmory,Gastrodon,Reuniclus,Tyranitar,Latias,Heatran,Heatran,20,win,Roost,Whirlwind,Spikes,None,Earthquake,Scald,Recover,None,None,None,None,None,Pursuit,None,None,None,Surf,Thunder Wave,None,None,Fire Blast,None,None,None,0,0
1133570531,Typhlito,1373,Abomasnow,Mamoswine,Kyurem,Excadrill,Jirachi,Jellicent,Jirachi,20,lose,None,None,None,None,Stealth Rock,Ice Shard,None,None,None,None,None,None,Earthquake,Rapid Spin,Protect,None,U-turn,Ice Punch,Healing Wish,None,Recover,Will-O-Wisp,None,None,0,0
1133965235,Darkortex,1537,Politoed,Scizor,Keldeo-Resolute,Starmie,Ferrothorn,Thundurus-Therian,Politoed,28,lose,Hydro Pump,None,None,None,Pursuit,U-turn,None,None,Surf,Hydro Pump,None,None,Rapid Spin,Thunder,Ice Beam,Hydro Pump,Stealth Rock,Leech Seed,None,None,Focus Blast,Substitute,None,None,0,1
113436595,gilftl208,1636,Alakazam,Garchomp,Ferrothorn,Landorus-Therian,Jellicent,Tyranitar,Landorus-Therian,38,lose,Psychic,None,None,None,Outrage,None,None,None,Spikes,Gyro Ball,None,None,U-turn,Superpower,None,None,None,None,None,None,Crunch,Fire Blast,None,None,1,0
1134500774,the1truep1neapple,1332,Xatu,Ninetales,Jirachi,Latios,Garchomp,Darmanitan,Ninetales,23,win,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0
1134706868,porrompompom,1562,Ninetales,Heatran,Cresselia,Forretress,Quagsire,Chansey,Ninetales,14,win,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0
1134720583,789pokefan,1341,Politoed,Garchomp,Gyarados,Latios,Starmie,Ferrothorn,Politoed,33,lose,Scald,Hydro Pump,Encore,None,Outrage,Swords Dance,None,None,Substitute,Dragon Dance,None,None,Trick,Psyshock,None,None,Rapid Spin,Hydro Pump,None,None,Spikes,Stealth Rock,None,None,0,0
1135923897,99 Red drifloon,1447,Tyranitar,Magnezone,Terrakion,Latios,Scizor,Landorus-Therian,Tyranitar,15,win,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,0
113636491,dtw,1329,Reuniclus,Tyranitar,Forretress,Breloom,Hydreigon,Scizor,Forretress,18,win,Psyshock,Trick Room,Hidden Power,None,Crunch,None,None,None,Stealth Rock,None,None,None,Spore,Swords Dance,Mach Punch,None,Draco Meteor,None,None,None,U-turn,None,None,None,0,0
1136657441,dnite56,1494,Tyranitar,Skarmory,Excadrill,Amoonguss,Latios,Keldeo,Amoonguss,40,win,Stealth Rock,None,None,None,Whirlwind,Spikes,None,None,Rapid Spin,None,None,None,Sludge Bomb,Stun Spore,None,None,Recover,Trick,Draco Meteor,None,Calm Mind,Protect,Surf,Secret Sword,0,0
1137327796,porrompompom,1605,Hydreigon,Dragonite,Latias,Garchomp,Jirachi,Magnezone,Jirachi,7,lose,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0
1137359984,AstraFiero418,1422,Aerodactyl,Abomasnow,Kyurem,Tentacruel,Bisharp,Breloom,Aerodactyl,10,lose,Stealth Rock,None,None,None,Ice Shard,None,None,None,Focus Blast,None,None,None,None,None,None,None,Sucker Punch,None,None,None,None,None,None,None,0,0
1138578389,Darkortex,1502,Garchomp,Dragonite,Magnezone,Latios,Scizor,Starmie,Garchomp,18,lose,Stealth Rock,None,None,None,Extreme Speed,None,None,None,Hidden Power,None,None,None,Draco Meteor,None,None,None,Pursuit,Bullet Punch,U-turn,None,None,None,None,None,0,0
113898835,professorcaralho,1390,Politoed,Latios,Rotom-Wash,Breloom,Jirachi,Scizor,Rotom-Wash,30,tie,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0
1139184782,peihan,1345,Espeon,Salamence,Scizor,Sableye,Gastrodon,Landorus-Therian,Sableye,30,lose,Shadow Ball,None,None,None,Fire Fang,Dragon Dance,Outrage,Substitute,None,None,None,None,Will-O-Wisp,Protect,None,None,Protect,Earth Power,None,None,U-turn,None,None,None,0,0
1139401705,Wally,1653,Garchomp,Rotom-Wash,Tyranitar,Scizor,Latios,Terrakion,None,0,win,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0
1139403528,epic circus,1576,Abomasnow,Kyurem,Magnezone,Dragonite,Starmie,Garchomp,Magnezone,23,lose,Earthquake,None,None,None,Ice Beam,Dragon Pulse,None,None,Thunder Wave,None,None,None,Dragon Dance,None,None,None,Ice Beam,None,None,None,Stealth Rock,Outrage,None,None,0,0
1139787076,Pythagorean Python,1400,Salamence,Garchomp,Meloetta,Raikou,Mienshao,Jirachi,Raikou,23,win,Draco Meteor,None,None,None,None,None,None,None,Calm Mind,Focus Blast,Psyshock,None,Thunderbolt,Volt Switch,Hidden Power,None,High Jump Kick,U-turn,None,None,Thunder Punch,Stealth Rock,None,None,0,0
1139862144,fabriiic703477,1350,Espeon,Volcarona,Lucario,Serperior,Dragonite,Vaporeon,Volcarona,22,win,Hidden Power,None,None,None,Quiver Dance,Fiery Dance,None,None,Extreme Speed,Close Combat,None,None,Glare,Calm Mind,Giga Drain,None,None,None,None,None,Scald,Ice Beam,None,None,0,0
1139872703,HydrIas,1387,Excadrill,Slowking,Skarmory,Landorus-Therian,Tyranitar,Latios,Skarmory,23,win,Earthquake,Rapid Spin,Protect,None,None,None,None,None,Stealth Rock,Roost,Whirlwind,Spikes,None,None,None,None,None,None,None,None,None,None,None,None,1,0
1139935333,Pythagorean Python,1410,Salamence,Garchomp,Meloetta,Raikou,Mienshao,Jirachi,Raikou,29,lose,Fire Blast,Draco Meteor,Hydro Pump,None,Outrage,None,None,None,Focus Blast,None,None,None,Thunderbolt,Volt Switch,None,None,High Jump Kick,U-turn,None,None,Iron Head,Thunder Punch,Stealth Rock,None,0,0
1140524432,mellrrowe,1333,Politoed,Starmie,Keldeo,Ferrothorn,Gyarados,Tornadus,Ferrothorn,26,win,Scald,None,None,None,None,None,None,None,Secret Sword,None,None,None,Stealth Rock,Leech Seed,Thunder Wave,Knock Off,Dragon Dance,Earthquake,None,None,Hurricane,None,None,None,0,0
1140934181,Deckline,1620,Politoed,Tentacruel,Jirachi,Landorus-Therian,Latios,Breloom,Landorus-Therian,28,lose,None,None,None,None,None,None,None,None,Thunder,Iron Head,Stealth Rock,None,Earthquake,U-turn,None,None,Surf,None,None,None,Substitute,Seed Bomb,Focus Punch,Protect,0,1
1140948413,TheDetails,1323,Tyranitar,Latios,Rotom-Wash,Ferrothorn,Landorus-Therian,Garchomp,Rotom-Wash,17,lose,Pursuit,None,None,None,None,None,None,None,Hydro Pump,Will-O-Wisp,Volt Switch,None,Knock Off,None,None,None,None,None,None,None,None,None,None,None,1,0
1140960849,Deckline,1603,Politoed,Tentacruel,Ferrothorn,Mamoswine,Keldeo,Thundurus-Therian,Politoed,32,lose,Scald,Protect,None,None,Scald,Protect,None,None,Spikes,Stealth Rock,Power Whip,None,None,None,None,None,Surf,Hydro Pump,None,None,Hidden Power,Thunder,Substitute,None,0,1
1140969594,samuel173,1324,Jirachi,Kyurem-Black,Victini,Alomomola,Meloetta,Whimsicott,Whimsicott,34,lose,Iron Head,Water Pulse,None,None,Fusion Bolt,None,None,None,U-turn,Flame Charge,None,None,Wish,None,None,None,Relic Song,None,None,None,Stun Spore,Knock Off,Leech Seed,Cotton Guard,0,0
1140983162,alvar03,1437,Moltres,Tentacruel,Politoed,Ferrothorn,Rotom-Wash,Gliscor,Ferrothorn,14,win,Hurricane,Fire Blast,None,None,None,None,None,None,None,None,None,None,Stealth Rock,Gyro Ball,None,None,Volt Switch,None,None,None,Earthquake,Taunt,None,None,0,1
1141004440,aDEUSmir,1464,Tyranitar,Skarmory,Heatran,Gliscor,Celebi,Starmie,Starmie,46,win,Crunch,None,None,None,Roost,Brave Bird,Whirlwind,Spikes,None,None,None,None,Substitute,Earthquake,Protect,Toxic,U-turn,None,None,None,Rapid Spin,None,None,None,0,0
1141004806,Wally,1653,Garchomp,Rotom-Wash,Tyranitar,Scizor,Latios,Terrakion,None,0,win,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0
1141025596,Wally,1649,Garchomp,Rotom-Wash,Tyranitar,Scizor,Latios,Terrakion,Tyranitar,10,lose,Fire Blast,None,None,None,Volt Switch,None,None,None,Stealth Rock,None,None,None,None,None,None,None,None,None,None,None,Close Combat,Stone Edge,None,None,0,0
1141203473,el janitor,1419,Azelf,Celebi,Heatran,Excadrill,Zapdos,Breloom,Breloom,19,win,Thunder Wave,None,None,None,Thunder Wave,U-turn,None,None,None,None,None,None,Rock Slide,Rapid Spin,None,None,Heat Wave,None,None,None,Superpower,None,None,None,0,0
1141253605,1995 idm room,1452,Tyranitar,Excadrill,Tangrowth,Magnezone,Salamence,Gastrodon,Magnezone,25,lose,Crunch,Stealth Rock,None,None,Iron Head,None,None,None,Stun Spore,None,None,None,None,None,None,None,Draco Meteor,Earthquake,Roost,Outrage,Scald,Toxic,Recover,None,0,0
1141607835,emad32,1459,Reuniclus,Scizor,Heatran,Landorus-Therian,Breloom,Thundurus-Therian,Thundurus-Therian,19,lose,Psychic,None,None,None,Bullet Punch,None,None,None,Toxic,Protect,None,None,U-turn,None,None,None,Drain Punch,Protect,None,None,None,None,None,None,0,0
1141674767,hello oh oh oh oh,1527,Jellicent,Ferrothorn,Gliscor,Tyranitar,Heatran,Starmie,Tyranitar,20,lose,None,None,None,None,Spikes,Protect,None,None,Protect,None,None,None,Crunch,None,None,None,Protect,None,None,None,None,None,None,None,0,0
114167538,aDEUSmir,1464,Tyranitar,Skarmory,Heatran,Gliscor,Celebi,Starmie,Starmie,46,win,Crunch,None,None,None,Roost,Brave Bird,Whirlwind,Spikes,None,None,None,None,Substitute,Earthquake,Protect,Toxic,U-turn,None,None,None,Rapid Spin,None,None,None,0,0
1141737426,Pythagorean Python,1443,Salamence,Garchomp,Meloetta,Raikou,Mienshao,Jirachi,Raikou,26,win,Draco Meteor,Roost,Hydro Pump,None,Fire Fang,Outrage,None,None,Calm Mind,Focus Blast,Shadow Ball,Psyshock,Volt Switch,Hidden Power,None,None,High Jump Kick,U-turn,None,None,None,None,None,None,0,0
1142210196,ismokeherb,1323,Politoed,Jirachi,Jolteon,Ferrothorn,Dragonite,Tentacruel,Jirachi,58,win,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Substitute,Rapid Spin,Sludge Bomb,None,0,1
114271902,Apedingo,1614,Garchomp,Scizor,Zapdos,Keldeo,Heatran,Rotom-Wash,Rotom-Wash,39,lose,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0
1142873170,freepi,1339,Tyranitar,Gliscor,Gastrodon,Skarmory,Alakazam,Reuniclus,Skarmory,31,lose,Crunch,Fire Blast,None,None,Earthquake,Protect,None,None,Scald,Ice Beam,None,None,Spikes,None,None,None,Psychic,Grass Knot,Focus Blast,None,Psyshock,Calm Mind,Recover,Hidden Power,1,0
1142982343,TheRareCandyDealer,1386,Lapras,Chansey,Skarmory,Starmie,Landorus-Therian,Dragonite,Landorus-Therian,24,win,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0
1143016398,hello oh oh oh oh,1560,Ferrothorn,Jellicent,Gliscor,Tyranitar,Heatran,Starmie,Gliscor,28,lose,Spikes,None,None,None,Will-O-Wisp,None,None,None,Substitute,Earthquake,Protect,None,None,None,None,None,Stealth Rock,Protect,Roar,None,Scald,None,None,None,0,0
1143453852,Spritzalcianuro96,1528,Keldeo,Hydreigon,Celebi,Politoed,Starmie,Tornadus,Celebi,29,lose,Surf,Secret Sword,None,None,Earth Power,Dark Pulse,Focus Blast,None,Nasty Plot,Stealth Rock,Recover,None,Toxic,None,None,None,Psyshock,None,None,None,Hurricane,None,None,None,0,0
1143460890,leleenabbo,1339,Mamoswine,Alakazam,Latios,Kyurem-Black,Scizor,Magnezone,Mamoswine,14,win,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0
1143489704,Panini maker,1356,Mamoswine,Latios,Scizor,Kyurem-Black,Salamence,Magnezone,Mamoswine,25,win,Earthquake,Stealth Rock,Ice Shard,Endeavor,Draco Meteor,Psychic,None,None,Bullet Punch,None,None,None,Outrage,None,None,None,Outrage,None,None,None,Hidden Power,Thunderbolt,None,None,0,0
1143632822,TheRareCandyDealer,1431,Salamence,Scizor,Starmie,Landorus-Therian,Ferrothorn,Scrafty,Scrafty,17,win,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0
1144339666,iMeridian,1668,Tyranitar,Landorus-Therian,Excadrill,Terrakion,Celebi,Rotom-Wash,Terrakion,19,win,Fire Blast,Pursuit,None,None,Stealth Rock,None,None,None,None,None,None,None,Close Combat,None,None,None,Nasty Plot,Hidden Power,Recover,None,None,None,None,None,1,0
1144340002,Space bound Monkey,1573,Reuniclus,Abomasnow,Scizor,Tentacruel,Kyurem-Black,Landorus-Therian,Tentacruel,17,win,None,None,None,None,Hidden Power,Leech Seed,None,None,Pursuit,None,None,None,Scald,Protect,Toxic Spikes,None,Ice Beam,Fusion Bolt,Substitute,Earth Power,Hidden Power,Stealth Rock,U-turn,None,0,0
114463727,LornaDeezy,1398,Politoed,Garchomp,Tornadus,Keldeo,Toxicroak,Jirachi,Politoed,26,lose,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0
1144767719,Mamoswine247,1529,Garchomp,Dragonite,Starmie,Scizor,Breloom,Alakazam,Breloom,7,lose,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0
1144791148,Panini maker,1356,Mamoswine,Latios,Scizor,Kyurem-Black,Salamence,Magnezone,Mamoswine,25,win,Earthquake,Stealth Rock,Ice Shard,Endeavor,Draco Meteor,Psychic,None,None,Bullet Punch,None,None,None,Outrage,None,None,None,Outrage,None,None,None,Hidden Power,Thunderbolt,None,None,0,0
1144959940,iMeridian,1607,Skarmory,Abomasnow,Starmie,Weavile,Jellicent,Kyurem,Kyurem,19,win,Stealth Rock,Roost,Brave Bird,Spikes,None,None,None,None,None,None,None,None,None,None,None,None,Recover,Will-O-Wisp,Scald,None,Draco Meteor,None,None,None,0,0
